Date,Market Cap,Enterprise Value,PE Ratio,Forward PE,Price to Book,Dividend Yield
2020-03-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2020-06-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2020-09-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2020-12-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2021-03-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2021-06-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2021-09-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2021-12-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2022-03-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2022-06-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2022-09-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2022-12-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2023-03-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2023-06-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2023-09-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2023-12-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2024-03-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
2024-06-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2024-09-30,0,2268224028672,34.77721,24.81675,31.547363,0.04
2024-12-31,0,2268224028672,34.77721,24.81675,31.547363,0.04
